"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2021128616","3","1","","1","12","Y","HYUN","2009","01","1","","1","00","N","000","","","2","01","07","03","09","PA","2","01","KMHDU46D39U","P4D"
"","51","N","2021115393","3","1","","1","12","Y","FORD","2012","01","2","","1","00","S","999","","","2","01","09","01","01","PA","2","04","1FTFW1ET7CF","TCW"
"","05","N","2022000394","0","1","","1","06","Y","HOND","2015","01","1","","1","00","N","000","","","2","01","07","03","01","PA","2","01","3HGGK5G52FM","P4H"
"","69","N","2021047339","3","1","","1","12","Y","SUBA","2021","02","2","","1","00","W","035","0","","2","01","07","01","01","PA","2","06","4S4BTAFC7M3","T"
"","69","N","2021076822","2","1","","1","12","Y","FORD","2018","01","1","","1","00","S","020","","","1","01","12","01","01","PA","1","04","1FT7W2BT3JE","T"
"","02","N","2021109458","3","1","","3","12","Y","HYUN","2008","01","1","","1","00","E","045","","","1","01","05","01","06","PA","1","01","KMHHN66F98U","PCP"
"","15","N","2021068809","3","1","","3","01","Y","HOND","2017","01","4","","1","00","S","999","","","1","01","05","01","01","PA","1","06","5FNYF6H57HB","T4W"
"","15","N","2021068470","3","1","","1","12","Y","HOND","2010","02","1","","1","00","S","999","0","","1","01","99","02","01","PA","1","06","5J6RE4H76AL","T4W"
"","51","N","2021065688","2","1","","1","01","Y","CHEV","2011","01","1","","1","00","S","999","","","2","01","05","01","01","PA","1","04","1GCHTCFE6B8","TCW"
"","19","N","2021080974","9","4","","1","99","U","CADI","","99","1","","1","99","S","999","0","","1","05","03","01","01","","1","06","",""
"","15","N","2021046583","3","1","","1","11","Y","CHEV","2006","02","1","","1","00","W","040","","","1","01","12","01","01","PA","0","06","1GNDT13S662","T4W"
"","04","N","2021077688","3","1","","1","09","Y","HOND","2006","01","1","","1","00","S","999","0","","1","01","12","01","01","NC","1","01","1HGFA165X6L","P4D"
"","51","N","2021043849","3","1","","1","12","Y","ISU","2008","01","1","","1","00","E","999","0","","1","01","09","01","01","PA","1","04","1GGCS199888","TPC"
"","05","N","2021070970","3","1","","1","11","Y","MAZD","2015","01","1","","3","00","S","035","","","1","01","05","17","01","PA","1","01","3MZBM1M76FM","P4H"
"","04","N","2021088337","3","1","","1","12","Y","CHEV","2014","02","1","","1","00","S","999","","","1","01","03","98","07","PA","1","01","2G1WB5E31E1","P4D"
"","15","N","2021072690","2","1","","1","03","Y","CHEV","2013","01","1","","1","00","N","015","","","1","01","12","01","01","PA","2","06","2GNFLNE30D6","T4W"
"","04","N","2021057013","3","1","","1","02","Y","KIA","2015","02","1","","1","00","W","025","0","","1","01","05","12","01","PA","2","01","KNAFK4A67F5","P4D"
"","69","N","2021068171","2","1","","1","06","Y","SUBA","2022","02","2","","1","00","W","000","","","2","01","05","03","03","PA","2","06","4S4BTACC4N3","T"
"","15","N","2021062169","1","1","","1","06","Y","GMC","2017","01","4","","1","00","E","000","","","3","01","05","03","01","PA","3","06","1GKKNTLS4HZ","T4W"
"","69","N","2021063459","3","1","","1","12","Y","FORD","2018","01","1","","1","00","N","999","0","","2","01","01","01","03","PA","1","05","1FTFW1EG5JF","T"
"","15","N","2021061599","3","1","","1","10","N","FIAT","2014","01","1","","1","00","S","010","0","","2","01","04","12","03","PA","1","01","ZFBCFADH2EZ","T4W"
"","04","N","2021088429","2","1","","3","02","Y","PLYM","2000","01","1","","1","00","E","020","0","","2","01","07","01","03","PA","2","01","1P3ES46C5YD","P4D"
"","51","N","2021097902","3","1","","2","11","Y","CHEV","2011","01","1","","1","00","W","030","","","3","01","04","01","03","PA","3","04","1GCRKSE03BZ","T4C"
"","69","N","2021041881","3","1","","3","10","N","MITS","2020","03","1","","4","00","E","045","0","","1","01","12","10","01","FL","0","06","JA4AZ3A32LZ","T"
"","04","N","2021111257","3","1","","1","12","Y","HYUN","2010","01","1","","1","00","S","999","","","1","01","05","12","03","PA","1","01","KMHDU4AD0AU","P4D"
"","","N","2021107061","9","4","","1","01","N","","","99","0","","4","99","E","999","","","1","05","99","16","01","","1","99","",""
"","","N","2021113593","9","4","","2","99","N","UNKN","","","1","","3","99","S","999","","","1","05","99","99","99","","1","99","",""
"","15","N","2021109705","3","1","","2","00","Y","TOYT","2008","01","1","","1","00","E","999","","","1","01","03","01","01","PA","0","01","JTMBD33V586","T4W"
"","15","N","2021088594","3","1","","1","12","Y","TOYT","2008","01","1","","1","00","E","035","0","","2","01","02","01","03","PA","2","01","JTMBD32V685","T4W"
"","51","N","2021062972","3","1","","1","11","Y","FORD","2016","02","3","","1","00","N","999","","","2","01","03","10","01","PA","2","04","1FTFW1EG4GF","TCW"
"","04","N","2021060196","3","1","","3","12","Y","CHEV","2011","02","2","","1","00","N","055","0","","1","01","02","01","01","PA","1","01","KL1TD5DE8BB","P4D"
"","","N","2021095178","2","1","","1","12","","","","00","1","","1","00","E","","","","1","11","","01","98","","1","20","",""
"","69","N","2021090409","1","1","","3","06","Y","CHEV","2018","01","1","","1","00","N","999","0","","2","01","07","02","03","PA","2","06","3GNCJPSB5JL","T"
